"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22147","TC-LV-04: Admin approves a pending leave request @smoke","webkit","2026-07-08","failed","2026-07-08","Leave Module Testing","leave.spec.ts","",""
"","25843","TC-AUTH-05: Logout from the application @smoke","chromium","2026-07-04","passed","2026-07-04","Login & Session Management Tests @login","auth\login.spec.ts","",""
"","18410","TC-AUTH-03: Login with blank username and password @regression","chromium","2026-07-04","passed","2026-07-04","Login & Session Management Tests @login","auth\login.spec.ts","",""
"","30319","TC-ATT-02 Punch out after punching in @smoke","chromium","2026-07-08","passed","2026-07-08","Attendance Module","attendance.spec.ts","",""
"","19051","TC-AUTH-01: Login with valid credentials @smoke","webkit","2026-07-04","passed","2026-07-04","Login & Session Management Tests @login","auth\login.spec.ts","",""
"","34975","TC-RC-01 Create a new job vacancy @smoke","chromium","2026-07-09","failed","2026-07-09","Recruitment Module @recruiment","recruitment.spec.ts","",""
"","17375","TC-AUTH-02: Login with invalid password @regression","webkit","2026-07-04","passed","2026-07-04","Login & Session Management Tests @login","auth\login.spec.ts","",""
"","3","TC-LV-02 - Apply for leave with end date before start date @regression","chromium","2026-07-07","skipped","2026-07-07","Leave Module @leave","leave.spec.ts","",""
"","70942","TC-AUTH-03: Login with blank username and password @regression","firefox","2026-07-04","broken","2026-07-04","Login & Session Management Tests @login","auth\login.spec.ts","",""
"","58793","TC-LV-01: Apply for leave with valid date range @smoke","chromium","2026-07-09","failed","2026-07-09","Leave Module Testing","leave.spec.ts","",""
"","25911","TC-LV-04: Admin approves a pending leave request @smoke","chromium","2026-07-09","failed","2026-07-09","Leave Module Testing","leave.spec.ts","",""
"","27318","TC-PIM-05-Search employee with non-existent name @regression","chromium","2026-07-08","passed","2026-07-08","PIM Module @pim","pim.spec.ts","",""
"","45569","TC-PIM-08-Upload profile photo (valid JPG, under 1 MB) @regression","chromium","2026-07-05","failed","2026-07-05","PIM Module @pim","pim.spec.ts","",""
"","24996","TC-ATT-02-Punch out after punching in @smoke","chromium","2026-07-08","passed","2026-07-08","Attendance Module @attendance","attendance.spec.ts","",""
"","19850","TC-LV-02-Apply for leave with end date before start date @regression","chromium","2026-07-08","failed","2026-07-08","Leave Module Testing @leave","leave.spec.ts","",""
"","38971","TC-LV-01-Apply for leave with valid date range @smoke","firefox","2026-07-07","failed","2026-07-07","Leave Module - Mandatory Suite @leave","leave.spec.ts","",""
"","6","TC-LV-05-Admin rejects a pending leave request @regression","chromium","2026-07-07","skipped","2026-07-07","Leave Module - Mandatory Suite @leave","leave.spec.ts","",""
"","14589","TC-AUTH-04: Login with username only (password blank) @regression","webkit","2026-07-04","passed","2026-07-04","Login & Session Management Tests @login","auth\login.spec.ts","",""
"","24022","TC-PIM-06-Edit employee job title and save @regression","chromium","2026-07-08","passed","2026-07-08","PIM Module @pim","pim.spec.ts","",""
"","1","TC-LV-02-Apply for leave with end date before start date @regression","firefox","2026-07-07","failed","2026-07-07","Leave Module - Mandatory Suite @leave","leave.spec.ts","",""
"","39809","TC-LV-04-Admin approves a pending leave request @regression","webkit","2026-07-07","failed","2026-07-07","Leave Module - Mandatory Suite @leave","leave.spec.ts","",""
"","62198","TC-LV-02-Apply for leave with end date before start date @regression","webkit","2026-07-07","broken","2026-07-07","Leave Module - Mandatory Suite @leave","leave.spec.ts","",""
"","40852","TC-ATT-01 Punch in without prior punch out @smoke","chromium","2026-07-08","failed","2026-07-08","Attendance Module","attendance.spec.ts","",""
"","12267","TC-PIM-04-Search employee by partial name @regression","chromium","2026-07-08","passed","2026-07-08","PIM Module @pim","pim.spec.ts","",""
"","13084","TC-PIM-07-Delete an employee @regression","chromium","2026-07-08","passed","2026-07-08","PIM Module @pim","pim.spec.ts","",""
"","51016","TC-AUTH-02: Login with invalid password @regression","firefox","2026-07-04","failed","2026-07-04","Login & Session Management Tests @login","auth\login.spec.ts","",""
"","62464","TC-ATT-03-Punch in when already punched in @regression","chromium","2026-07-08","broken","2026-07-08","Attendance Module @attendance","attendance.spec.ts","",""
"","58210","TC-LV-05: Admin rejects a pending leave request @smoke","chromium","2026-07-09","failed","2026-07-09","Leave Module Testing","leave.spec.ts","",""
"","54722","TC-RC-03 Schedule an interview for a candidate @regression","chromium","2026-07-09","failed","2026-07-09","Recruitment Module @recruiment","recruitment.spec.ts","",""
"","26635","TC-AUTH-04: Login with username only (password blank) @regression","chromium","2026-07-04","passed","2026-07-04","Login & Session Management Tests @login","auth\login.spec.ts","",""
"","58615","TC-AUTH-04: Login with username only (password blank) @regression","firefox","2026-07-04","failed","2026-07-04","Login & Session Management Tests @login","auth\login.spec.ts","",""
"","15643","TC-AUTH-01: Login with valid credentials @smoke","chromium","2026-07-04","passed","2026-07-04","Login & Session Management Tests @login","auth\login.spec.ts","",""
"","17744","TC-AUTH-02: Login with invalid password @regression","chromium","2026-07-04","passed","2026-07-04","Login & Session Management Tests @login","auth\login.spec.ts","",""
"","1","TC-LV-05-Admin rejects a pending leave request @regression","firefox","2026-07-07","skipped","2026-07-07","Leave Module - Mandatory Suite @leave","leave.spec.ts","",""
"","53495","TC-AUTH-01: Login with valid credentials @smoke","firefox","2026-07-04","failed","2026-07-04","Login & Session Management Tests @login","auth\login.spec.ts","",""
"","66037","TC-LV-01-Apply for leave with valid date range @smoke","chromium","2026-07-07","broken","2026-07-07","Leave Module - Mandatory Suite @leave","leave.spec.ts","",""
"","13396","TC-PIM-03-Search employee by exact name @regression","chromium","2026-07-08","passed","2026-07-08","PIM Module @pim","pim.spec.ts","",""
"","3","TC-LV-04 - Admin approves a pending leave request @regression","chromium","2026-07-07","skipped","2026-07-07","Leave Module @leave","leave.spec.ts","",""
"","19710","TC-LV-02: Apply for leave with end date before start date @regression","webkit","2026-07-08","failed","2026-07-08","Leave Module Testing","leave.spec.ts","",""
"","15899","TC-PIM-02-Add employee without first name @regression","chromium","2026-07-08","passed","2026-07-08","PIM Module @pim","pim.spec.ts","",""
"","23687","TC-LV-05: Admin rejects a pending leave request @smoke","webkit","2026-07-08","failed","2026-07-08","Leave Module Testing","leave.spec.ts","",""
"","17860","TC-LV-05-Admin rejects a pending leave request @smoke","chromium","2026-07-08","failed","2026-07-08","Leave Module Testing @leave","leave.spec.ts","",""
"","54742","TC-AUTH-06: Forgot password with registered email @regression","chromium","2026-07-04","passed","2026-07-04","Forgot Password Tests @forgotpassword","auth\forgotpassword.spec.ts","",""
"","31646","TC-LV-01: Apply for leave with valid date range @smoke","firefox","2026-07-08","failed","2026-07-08","Leave Module Testing","leave.spec.ts","",""
"","11858","TC-AUTH-05: Logout from the application @smoke","webkit","2026-07-04","passed","2026-07-04","Login & Session Management Tests @login","auth\login.spec.ts","",""
"","32063","TC-LV-00 - Pre-requisite: Create employee and assign entitlement balance","chromium","2026-07-07","failed","2026-07-07","Leave Module @leave","leave.spec.ts","",""
"","24105","TC-LV-01: Apply for leave with valid date range @smoke","webkit","2026-07-08","failed","2026-07-08","Leave Module Testing","leave.spec.ts","",""
"","8030","TC-AUTH-03: Login with blank username and password @regression","webkit","2026-07-04","passed","2026-07-04","Login & Session Management Tests @login","auth\login.spec.ts","",""
"","18922","TC-LV-01-Apply for leave with valid date range @smoke","chromium","2026-07-08","failed","2026-07-08","Leave Module Testing @leave","leave.spec.ts","",""
"","23568","TC-PIM-01-Add a new employee with all required fields @smoke","chromium","2026-07-08","passed","2026-07-08","PIM Module @pim","pim.spec.ts","",""
"","25117","TC-AUTH-07: Forgot password with unregistered email @regression","chromium","2026-07-04","passed","2026-07-04","Forgot Password Tests @forgotpassword","auth\forgotpassword.spec.ts","",""
"","30385","TC-ATT-03 Punch in when already punched in @regression","chromium","2026-07-08","passed","2026-07-08","Attendance Module","attendance.spec.ts","",""
"","54987","TC-LV-04-Admin approves a pending leave request @regression","firefox","2026-07-07","failed","2026-07-07","Leave Module - Mandatory Suite @leave","leave.spec.ts","",""
"","16142","TC-LV-04-Admin approves a pending leave request @smoke","chromium","2026-07-08","failed","2026-07-08","Leave Module Testing @leave","leave.spec.ts","",""
"","51790","TC-PIM-09-Upload unsupported file type as profile photo @regression","chromium","2026-07-05","failed","2026-07-05","PIM Module @pim","pim.spec.ts","",""
"","56142","TC-AUTH-05: Logout from the application @smoke","firefox","2026-07-04","failed","2026-07-04","Login & Session Management Tests @login","auth\login.spec.ts","",""
"","21","TC-LV-04-Admin approves a pending leave request @regression","chromium","2026-07-07","skipped","2026-07-07","Leave Module - Mandatory Suite @leave","leave.spec.ts","",""
"","32936","TC-LV-05: Admin rejects a pending leave request @smoke","firefox","2026-07-08","failed","2026-07-08","Leave Module Testing","leave.spec.ts","",""
"","63634","TC-RC-02 Add a candidate to a vacancy @regression","chromium","2026-07-09","broken","2026-07-09","Recruitment Module @recruiment","recruitment.spec.ts","",""
"","38338","TC-ATT-01-Punch in without prior punch out @smoke","chromium","2026-07-08","passed","2026-07-08","Attendance Module @attendance","attendance.spec.ts","",""
"","31621","TC-LV-04: Admin approves a pending leave request @smoke","firefox","2026-07-08","failed","2026-07-08","Leave Module Testing","leave.spec.ts","",""
"","45556","TC-LV-01-Apply for leave with valid date range @smoke","webkit","2026-07-07","failed","2026-07-07","Leave Module - Mandatory Suite @leave","leave.spec.ts","",""
"","73242","TC-PIM-10-Add emergency contact for employee @regression","chromium","2026-07-05","broken","2026-07-05","PIM Module @pim","pim.spec.ts","",""
"","8","TC-LV-01 - Apply for leave with valid date range @smoke","chromium","2026-07-07","skipped","2026-07-07","Leave Module @leave","leave.spec.ts","",""
"","45715","TC-LV-02: Apply for leave with end date before start date @regression","chromium","2026-07-09","failed","2026-07-09","Leave Module Testing","leave.spec.ts","",""
"","29951","TC-LV-02: Apply for leave with end date before start date @regression","firefox","2026-07-08","failed","2026-07-08","Leave Module Testing","leave.spec.ts","",""
"","34","TC-LV-02-Apply for leave with end date before start date @regression","chromium","2026-07-07","skipped","2026-07-07","Leave Module - Mandatory Suite @leave","leave.spec.ts","",""
"","35630","TC-LV-05-Admin rejects a pending leave request @regression","webkit","2026-07-07","failed","2026-07-07","Leave Module - Mandatory Suite @leave","leave.spec.ts","",""
